crate,downloads,recent_downloads,updated_at,created_at,max_version,description,repository,cvss_score,label
curve25519-dalek,71871117.0,12398171.0,2024-06-18T19:20:35.007627Z,2016-12-08T05:13:57.620503Z,4.1.3,A pure-Rust implementation of group operations on ristretto255 and Curve25519,https://github.com/dalek-cryptography/curve25519-dalek/tree/main/curve25519-dalek,,1
cw0,377030.0,69283.0,2021-11-16T18:39:09.136369Z,2020-08-28T22:16:05.093903Z,0.10.3,Common helpers for other cw specs,https://github.com/CosmWasm/cw-plus,,1
cyfs-base,29058.0,3606.0,2023-04-13T06:07:42.826706Z,2022-05-31T05:03:15.964742Z,0.6.12,Rust cyfs-base package,,,1
daemonize,4427844.0,561206.0,2023-02-25T07:57:03.268345Z,2015-12-20T22:06:49.933429Z,0.5.0,Library to enable your code run as a daemon process on Unix-like systems.,https://github.com/knsd/daemonize,,1
dashmap,110558466.0,19529428.0,2025-03-05T17:04:26.384140Z,2019-08-25T18:22:12.397782Z,7.0.0-rc2,Blazing fast concurrent HashMap for Rust.,https://github.com/xacrimon/dashmap,,1
dbn,287512.0,39665.0,2025-04-01T20:28:59.864783Z,2023-02-23T00:00:37.829448Z,0.31.0,Library for working with Databento Binary Encoding (DBN),https://github.com/databento/dbn,,1
dces,32296.0,2518.0,2022-03-22T11:06:40.091171Z,2018-10-15T10:42:28.382311Z,0.3.1,DCES entity component system,https://gitlab.redox-os.org/redox-os/dces-rust,,1
derivative,87386979.0,12188328.0,2021-01-23T17:05:39.339355Z,2016-10-07T23:35:58.354746Z,2.2.0,A set of alternative `derive` attributes for Rust,https://github.com/mcarton/rust-derivative,,1
derive-com-impl,17885.0,1493.0,2023-07-25T21:13:01.624366Z,2018-11-11T00:11:48.779034Z,0.2.0,"Procedural macros to help implement COM interfaces from Rust.
",https://github.com/connicpu/com-impl,,1
diesel,14669233.0,1565126.0,2025-04-04T11:26:56.727603Z,2015-11-29T17:53:47.748928Z,2.2.9,"A safe, extensible ORM and Query Builder for PostgreSQL, SQLite, and MySQL",https://github.com/diesel-rs/diesel,,1
difference,24628037.0,1330751.0,2018-01-23T17:31:55.462599Z,2015-09-19T05:58:42.573289Z,2.0.0,A Rust text diffing and assertion library.,https://github.com/johannhof/difference.rs,,1
directories,27836483.0,3742939.0,2025-01-12T17:19:05.177535Z,2017-12-18T07:12:55.098997Z,6.0.0,"A tiny mid-level library that provides platform-specific standard locations of directories for config, cache and other data on Linux, Windows and macOS by leveraging the mechanisms defined by the XDG base/user directory specifications on Linux, the Known Folder API on Windows, and the Standard Directory guidelines on macOS.",https://github.com/soc/directories-rs,,1
dirs,105846136.0,13443955.0,2025-01-12T17:19:23.581020Z,2015-11-24T00:11:15.764867Z,6.0.0,"A tiny low-level library that provides platform-specific standard locations of directories for config, cache and other data on Linux, Windows, macOS and Redox by leveraging the mechanisms defined by the XDG base/user directory specifications on Linux, the Known Folder API on Windows, and the Standard Directory guidelines on macOS.",https://github.com/soc/dirs-rs,,1
disrustor,4634.0,687.0,2023-06-05T22:16:00.978640Z,2019-07-30T23:42:33.204221Z,0.4.0,This project is a port of the LMAX Disruptor to Rust,https://github.com/sklose/disrustor,,1
dlopen_derive,3136237.0,368825.0,2019-06-09T16:31:45.063784Z,2017-09-04T21:02:00.157981Z,0.1.4,Derive macros for the dlopen crate.,,,1
dotenv,25957186.0,4598122.0,2019-10-21T16:51:12.672006Z,2014-11-20T20:53:09.509225Z,0.15.0,A `dotenv` implementation for Rust,https://github.com/dotenv-rs/dotenv,,1
dotenv_codegen,463531.0,24255.0,2019-10-21T16:52:46.404581Z,2015-12-04T00:42:35.735197Z,0.15.0,A `dotenv` implementation for Rust,https://github.com/dotenv-rs/dotenv,,1
double-checked-cell,45079.0,3187.0,2020-12-12T15:17:55.623017Z,2017-11-02T14:35:18.710301Z,2.1.0,A thread-safe lazily initialized cell using double-checked locking,https://github.com/niklasf/double-checked-cell,,1
dync,34825.0,15928.0,2023-11-11T06:15:57.418716Z,2020-05-04T21:14:14.406503Z,0.5.7,An efficient alternative to `dyn Trait` for containerized types,https://github.com/elrnv/dync,,1
ed25519-dalek,46864813.0,9872600.0,2024-02-07T01:14:29.540135Z,2016-12-09T01:24:53.342073Z,2.1.1,"Fast and efficient ed25519 EdDSA key generations, signing, and verification in pure Rust.",https://github.com/dalek-cryptography/curve25519-dalek/tree/main/ed25519-dalek,,1
elf_rs,276288.0,5183.0,2023-10-13T03:49:30.171233Z,2019-04-03T13:50:08.431096Z,0.3.1,A simple no_std ELF file reader for ELF32 and ELF64,https://github.com/vincenthouyi/elf_rs,,1
encoding,12234349.0,595105.0,2016-08-28T16:54:28.588718Z,2014-11-14T16:58:32.629479Z,0.2.33,Character encoding support for Rust,https://github.com/lifthrasiir/rust-encoding,,1
endian_trait,17974.0,1992.0,2018-06-25T20:41:51.304935Z,2017-08-20T01:39:04.433323Z,0.6.0,A trait for Endianness conversions that can be implemented on most types,https://gitlab.com/myrrlyn/endian_trait,,1
enum-map,14548012.0,3409211.0,2023-11-24T07:41:35.458027Z,2017-05-16T20:57:36.563826Z,3.0.0-beta.2,A map with C-like enum keys represented internally as an array,https://codeberg.org/xfix/enum-map,,1
enumflags2,28800116.0,5096516.0,2025-01-17T05:21:22.311318Z,2019-01-29T21:27:53.371250Z,0.7.11,Enum-based bit flags,https://github.com/meithecatte/enumflags2,,1
eventio,24416.0,2624.0,2024-08-10T07:08:26.913663Z,2019-11-02T00:16:38.855655Z,0.11.0,A collection of event I/O processors for event-processing applications.,https://github.com/petabi/eventio,,1
evm,1059885.0,111889.0,2025-01-14T11:13:44.616265Z,2017-09-09T01:10:12.006395Z,1.0.0-alpha.2,SputnikVM - a Portable Blockchain Virtual Machine,https://github.com/sorpaas/rust-evm,,1
evm-core,1041335.0,107446.0,2025-01-14T11:12:57.252733Z,2019-10-18T10:58:58.044683Z,0.42.0,Portable Ethereum Virtual Machine implementation written in pure Rust.,https://github.com/sorpaas/rust-evm,,1
eyre,38747263.0,7119975.0,2024-01-31T16:44:06.544480Z,2020-02-05T15:38:43.804247Z,0.6.12,Flexible concrete Error Reporting type built on std::error::Error with customizable Reports,https://github.com/eyre-rs/eyre,,1
failure,35465077.0,1156841.0,2020-05-02T18:13:11.746367Z,2017-10-08T21:02:37.136531Z,0.1.8,Experimental error handling abstraction.,https://github.com/rust-lang-nursery/failure,,1
fake-static,1711.0,218.0,2019-07-27T11:28:34.106945Z,2019-07-27T11:28:34.106945Z,0.1.0,rustc hates him! Sidestep borrow checking with this weird trick (no unsafe inside).,https://github.com/NieDzejkob/fake-static,,1
fake_clock,52808.0,2044.0,2020-10-22T14:08:44.266357Z,2017-04-05T13:19:03.809065Z,0.3.1,Fake clock for deterministic testing of code depending on time.,https://github.com/maidsafe/sn_fake_clock,,1
fast-float,4628362.0,1140664.0,2021-01-13T16:57:12.236999Z,2021-01-10T01:48:58.289179Z,0.2.0,Fast floating-point number parser.,https://github.com/aldanor/fast-float-rust,,1
fast-float2,475695.0,393442.0,2024-10-31T22:41:55.293360Z,2024-10-30T18:00:21.341122Z,0.2.3,Fast floating-point number parser.,https://github.com/Alexhuszagh/fast-float-rust,,1
fehler,654887.0,23691.0,2020-04-06T14:04:28.708002Z,2019-09-20T18:46:27.429982Z,1.0.0,A library for error-handling syntax in Rust,https://github.com/withoutboats/fehler,,1
ferris-says,503671.0,39155.0,2024-11-20T09:23:20.664333Z,2017-08-18T09:43:35.340575Z,0.3.2,A Rust flavored replacement for the classic cowsay,https://github.com/rust-lang/ferris-says,,1
ffi_utils,62275.0,3490.0,2020-07-16T09:03:29.350403Z,2017-07-07T17:56:19.316458Z,0.17.0,FFI utilities,https://github.com/maidsafe/ffi-utils,,1
fil-ocl,104050.0,715.0,2021-02-24T09:57:05.082235Z,2019-11-01T17:05:26.178028Z,0.19.6,OpenCL bindings and interfaces for Rust.,https://github.com/filecoin-project/fil-ocl,,1
filesystem,496902.0,7074.0,2019-02-17T01:06:35.733151Z,2017-07-28T03:57:14.640234Z,0.4.4,"Real, fake, and mock implementations of file system operations",https://github.com/iredelmeier/filesystem-rs,,1
flatbuffers,27268406.0,6195011.0,2025-02-11T04:26:40.796607Z,2016-06-01T19:18:36.248215Z,25.2.10,Official FlatBuffers Rust runtime library.,https://github.com/google/flatbuffers,,1
fltk,841684.0,220408.0,2025-04-01T20:28:28.992206Z,2020-03-21T00:55:48.197510Z,1.5.6,Rust bindings for the FLTK GUI library,https://github.com/fltk-rs/fltk-rs,,1
flumedb,7073.0,877.0,2022-01-13T21:17:47.913909Z,2019-12-25T19:38:25.583698Z,0.1.6,Append-only log format used by Secure Scuttlebutt,https://github.com/sunrise-choir/flumedb-rs,,1
fruity,61892.0,721.0,2022-04-08T10:47:58.852342Z,2020-09-08T03:40:13.672576Z,0.3.0,Rusty bindings for Apple libraries,https://github.com/nvzqz/fruity,,1
ftd2xx-embedded-hal,24716.0,2407.0,2021-08-10T18:14:07.391871Z,2020-09-12T23:17:08.756321Z,0.9.1,embedded-hal implementation for FTDI USB devices.,https://github.com/newAM/ftd2xx-embedded-hal/,,1
ftp,495370.0,16004.0,2018-04-15T17:51:16.707401Z,2014-11-22T04:29:28.897824Z,3.0.1,FTP client for Rust,https://github.com/mattnenterprise/rust-ftp,,1
futures-intrusive,35212752.0,7786500.0,2022-11-04T06:14:20.712105Z,2019-05-22T05:49:33.423930Z,0.5.0,"Futures based on intrusive data structures - for std and no-std environments.
",https://github.com/Matthias247/futures-intrusive,,1
futures-task,274178123.0,39587085.0,2024-10-05T07:07:01.495599Z,2019-07-29T02:21:47.224744Z,0.3.31,"Tools for working with tasks.
",https://github.com/rust-lang/futures-rs,,1
futures-util,274709019.0,39613228.0,2024-10-05T07:07:27.303135Z,2018-03-05T22:42:24.332661Z,0.3.31,"Common utilities and extension traits for the futures-rs library.
",https://github.com/rust-lang/futures-rs,,1
fyrox-core,45380.0,6821.0,2025-02-27T07:59:54.878554Z,2022-01-10T18:50:13.310782Z,0.36.2,Shared core for the Fyrox engine and its external crates.,https://github.com/FyroxEngine/Fyrox,,1
gdk,6217769.0,1025357.0,2024-12-09T11:46:05.982567Z,2015-01-10T15:17:06.947759Z,0.18.2,UNMAINTAINED Rust bindings for the GDK 3 library (use gdk4 instead),https://github.com/gtk-rs/gtk3-rs,,1
gdk-sys,6862030.0,1055898.0,2024-12-09T11:46:10.399451Z,2015-05-12T19:57:52.141913Z,0.18.2,UNMAINTAINED FFI bindings to libgdk-3 (use gdk4-sys instead),https://github.com/gtk-rs/gtk3-rs,,1
gdkwayland,11873.0,2779.0,2024-12-09T11:46:14.919203Z,2021-04-04T13:16:28.767449Z,0.18.2,UNMAINTAINED Rust bindings of the GDK-Wayland 3 library (use gdk4-wayland instead),https://github.com/gtk-rs/gtk3-rs,,1
gdkwayland-sys,3467626.0,815189.0,2024-12-09T11:46:18.844994Z,2021-04-04T13:16:33.922275Z,0.18.2,UNMAINTAINED FFI bindings to libgdk-3-wayland (use gdk4-wayland-sys instead),https://github.com/gtk-rs/gtk3-rs,,1
gdkx11,1262867.0,500111.0,2024-12-09T11:46:22.248137Z,2020-07-04T15:04:43.257152Z,0.18.2,UNMAINTAINED Rust bindings for the GDK X11 library (use gdk4-x11 instead),https://github.com/gtk-rs/gtk3-rs,,1
gdkx11-sys,4026669.0,829408.0,2024-12-09T11:46:25.531482Z,2020-07-04T14:38:52.651517Z,0.18.2,UNMAINTAINED FFI binding for libgdkx11 (use gdk4-x11-sys instead),https://github.com/gtk-rs/gtk3-rs,,1
generational-arena,5782070.0,294970.0,2023-05-22T19:27:16.031877Z,2018-08-22T22:28:37.465382Z,0.2.9,A safe arena allocator that supports deletion without suffering from the ABA problem by using generational indices.,https://github.com/fitzgen/generational-arena,,1
generator,16711414.0,6563656.0,2024-12-05T04:49:20.632373Z,2015-09-04T08:32:00.413239Z,0.8.4,Stackfull Generator Library in Rust,https://github.com/Xudong-Huang/generator-rs.git,,1
generic-array,295300974.0,38997874.0,2025-01-12T17:58:19.615534Z,2015-09-27T14:13:44.174465Z,1.2.0,Generic types implementing functionality of arrays,https://github.com/fizyk20/generic-array.git,,1
get-size,6689673.0,1841430.0,2023-06-23T19:09:28.659479Z,2022-02-27T21:46:36.508491Z,0.1.4,Determine the size in bytes an object occupies inside RAM.,https://github.com/DKerp/get-size,,1
get-size-derive,6730333.0,1879309.0,2023-06-23T19:08:22.249811Z,2022-02-27T21:42:08.474898Z,0.1.3,Derives the GetSize trait.,https://github.com/DKerp/get-size/tree/main/get-size-derive,,1
gfwx,5292.0,509.0,2020-01-21T22:39:11.185318Z,2018-11-09T19:56:55.327340Z,0.3.0,"GFWX: Good, Fast Wavelet Codec (Rust)",https://github.com/devolutions/gfwx-rs,,1
gfx-auxil,917148.0,37300.0,2021-06-19T04:56:51.104052Z,2019-10-23T23:35:17.965813Z,0.10.0,Implementation details shared between gfx-rs backends,https://github.com/gfx-rs/gfx,,1
git-delta,181380.0,19853.0,2024-09-11T12:36:44.396060Z,2019-09-30T20:37:54.987411Z,0.18.2,A syntax-highlighting pager for git,https://github.com/dandavison/delta,,1
git-hash,617471.0,14062.0,2023-02-17T08:53:12.668043Z,2020-12-16T09:55:23.577393Z,0.10.3,Please use `gix-<thiscrate>` instead ('git' -> 'gix'),https://github.com/Byron/gitoxide,,1
git-path,329212.0,8356.0,2023-02-17T08:54:14.743166Z,2022-04-28T07:40:50.791378Z,0.7.2,Please use `gix-<thiscrate>` instead ('git' -> 'gix'),https://github.com/Byron/gitoxide,,1
git2,46369525.0,6290525.0,2025-03-17T22:43:50.208464Z,2014-11-14T23:37:32.510389Z,0.20.1,"Bindings to libgit2 for interoperating with git repositories. This library is
both threadsafe and memory safe and allows both reading and writing git
repositories.
",https://github.com/rust-lang/git2-rs,,1
gitoxide-core,88627.0,11495.0,2025-04-04T02:25:11.294687Z,2020-07-12T04:35:58.222374Z,0.46.0,The library implementing all capabilities of the gitoxide CLI,https://github.com/GitoxideLabs/gitoxide,,1
gix-attributes,8153011.0,1974964.0,2025-04-04T02:02:03.447255Z,2023-02-17T09:41:49.672414Z,0.25.0,A crate of the gitoxide project dealing .gitattributes files,https://github.com/GitoxideLabs/gitoxide,,1
gix-fs,12541558.0,2652928.0,2025-04-04T02:03:43.204711Z,2023-04-19T07:39:30.790171Z,0.14.0,A crate providing file system specific utilities to `gitoxide`,https://github.com/GitoxideLabs/gitoxide,,1
gix-index,9431878.0,2308602.0,2025-04-04T02:05:48.481235Z,2023-02-17T09:48:03.614071Z,0.39.0,A work-in-progress crate of the gitoxide project dedicated implementing the git index file,https://github.com/GitoxideLabs/gitoxide,,1
gix-path,12611935.0,2692162.0,2025-04-04T02:00:21.692433Z,2023-02-17T09:40:48.866428Z,0.10.15,A crate of the gitoxide project dealing paths and their conversions,https://github.com/GitoxideLabs/gitoxide,,1
gix-ref,12662561.0,2656163.0,2025-04-04T02:07:37.157655Z,2023-02-17T09:43:40.006855Z,0.51.0,A crate to handle git references,https://github.com/GitoxideLabs/gitoxide,,1
gix-transport,6870868.0,2078280.0,2025-04-04T02:22:49.484306Z,2023-02-17T09:50:24.104418Z,0.46.0,A crate of the gitoxide project dedicated to implementing the git transport layer,https://github.com/GitoxideLabs/gitoxide,,1
gix-worktree,8235439.0,1976374.0,2025-04-04T02:06:48.050199Z,2023-02-17T09:51:26.676448Z,0.40.0,A crate of the gitoxide project for shared worktree related types and utilities.,https://github.com/GitoxideLabs/gitoxide,,1
gix-worktree-state,2777902.0,1021111.0,2025-04-04T02:23:59.989087Z,2023-08-22T10:04:04.939795Z,0.18.0,A crate of the gitoxide project implementing setting the worktree to a particular state,https://github.com/GitoxideLabs/gitoxide,,1
glib,12913019.0,1926647.0,2025-02-16T11:13:19.507156Z,2015-05-12T18:00:50.319378Z,0.20.9,Rust bindings for the GLib library,https://github.com/gtk-rs/gtk-rs-core,,1
glsl-layout,272691.0,16276.0,2022-12-06T17:00:47.511021Z,2018-05-17T16:13:03.473405Z,0.5.0,Provides data types and traits to build structures ready to upload into UBO.,https://github.com/rustgd/glsl-layout,,1
grcov,1688011.0,118105.0,2025-04-03T11:12:49.568584Z,2018-10-05T09:59:30.927930Z,0.8.24,Rust tool to collect and aggregate code coverage data for multiple source files,https://github.com/mozilla/grcov,,1
grep-cli,3357333.0,523547.0,2024-09-09T02:07:02.228036Z,2018-09-05T03:25:00.019833Z,0.1.11,"Utilities for search oriented command line applications.
",https://github.com/BurntSushi/ripgrep/tree/master/crates/cli,,1
gtk,6244582.0,1028925.0,2024-12-09T11:46:31.974872Z,2015-05-12T20:42:47.452483Z,0.18.2,UNMAINTAINED Rust bindings for the GTK+ 3 library (use gtk4 instead),https://github.com/gtk-rs/gtk3-rs,,1
gtk-layer-shell,284210.0,34253.0,2024-12-09T12:40:53.916372Z,2020-08-24T03:05:51.263123Z,0.8.2,UNMAINTAINED Save gir-generated wrapper for gtk-layer-shell,https://github.com/pentamassiv/gtk-layer-shell-gir/tree/main/gtk-layer-shell,,1
gtk-layer-shell-sys,281260.0,33613.0,2024-12-09T12:34:42.294321Z,2020-08-24T02:42:11.069582Z,0.7.2,UNMAINTAINED Unsave gir-generated FFI bindings for gtk-layer-shell,https://github.com/pentamassiv/gtk-layer-shell-gir/tree/main/gtk-layer-shell-sys,,1
gtk-sys,6856728.0,1055840.0,2024-12-09T11:46:36.837054Z,2015-05-12T20:09:52.772755Z,0.18.2,UNMAINTAINED FFI bindings to libgtk-3 (use gtk4-sys instead),https://github.com/gtk-rs/gtk3-rs,,1
gtk3-macros,5193548.0,986649.0,2024-12-09T11:46:46.144873Z,2021-04-04T13:14:07.909751Z,0.18.2,UNMAINTAINED Rust bindings for the GTK 3 library (use gtk4-macros instead),https://github.com/gtk-rs/gtk3-rs,,1
h2,255683476.0,43664682.0,2025-02-18T19:14:15.226465Z,2017-03-09T22:02:00.510015Z,0.4.8,An HTTP/2 client and server,https://github.com/hyperium/h2,,1
hashbrown,598483237.0,114401006.0,2024-11-25T00:36:20.789854Z,2018-10-29T14:28:15.767024Z,0.15.2,A Rust port of Google's SwissTable hash map,https://github.com/rust-lang/hashbrown,,1
hashconsing,118836.0,7184.0,2023-09-25T13:36:16.013494Z,2015-09-19T17:37:45.452018Z,1.6.0,A hash consing library.,https://github.com/AdrienChampion/hashconsing,,1
heapless,24865668.0,5263577.0,2023-12-04T13:51:20.988844Z,2017-04-27T21:26:06.946020Z,0.8.0,`static` friendly data structures that don't require dynamic memory allocation,https://github.com/japaric/heapless,,1
hickory-proto,8874949.0,3511996.0,2025-03-18T22:32:14.288596Z,2023-09-26T19:47:32.591370Z,0.25.1,"Hickory DNS is a safe and secure DNS library. This is the foundational DNS protocol library for all Hickory DNS projects.
",https://github.com/hickory-dns/hickory-dns,,1
hpack,1194819.0,24466.0,2015-12-16T00:01:49.263868Z,2015-03-13T14:28:41.563933Z,0.3.0,A library implementing HPACK coding,https://github.com/mlalic/hpack-rs,,1
http,289854981.0,52212597.0,2025-03-11T20:19:56.370499Z,2014-11-20T23:30:38.809367Z,1.3.1,"A set of types for representing HTTP requests and responses.
",https://github.com/hyperium/http,,1
humantime,195903776.0,27439832.0,2025-03-12T22:26:08.298966Z,2016-05-20T21:32:51.043935Z,2.2.0,"A parser and formatter for std::time::{Duration, SystemTime}",https://github.com/chronotope/humantime,,1
hwloc,146739.0,3943.0,2017-04-26T16:36:09.766034Z,2015-11-16T07:39:14.347341Z,0.5.0,Rust bindings for the hwloc hardware locality library.,https://github.com/daschl/hwloc-rs,,1
hyper,284503844.0,48951308.0,2025-01-28T13:52:17.475823Z,2014-11-22T04:05:30.459510Z,1.6.0,A protective and efficient HTTP library for all.,https://github.com/hyperium/hyper,,1
hyper-staticfile,534075.0,50930.0,2024-07-01T12:52:27.528825Z,2017-08-07T16:15:39.517748Z,0.10.1,Static file serving for Hyper 1.0,https://github.com/stephank/hyper-staticfile,,1
iana-time-zone,190377338.0,35859254.0,2025-03-31T15:30:18.770020Z,2020-06-27T11:01:58.126511Z,0.1.63,get the IANA time zone for the current system,https://github.com/strawlab/iana-time-zone,,1
ic-cdk,2677189.0,366123.0,2025-03-19T15:48:33.707468Z,2020-10-02T18:24:01.329506Z,0.18.0-alpha.2,Canister Developer Kit for the Internet Computer.,https://github.com/dfinity/cdk-rs,,1
ic-stable-structures,1202267.0,134317.0,2025-03-10T08:31:33.711199Z,2022-09-19T17:01:23.163673Z,0.6.8,A collection of data structures for fearless canister upgrades.,https://github.com/dfinity/stable-structures,,1
iced-x86,876059.0,122621.0,2024-01-20T16:21:30.117235Z,2019-11-23T20:36:31.245394Z,1.21.0,"iced-x86 is a blazing fast and correct x86/x64 disassembler, assembler and instruction decoder written in Rust",https://github.com/icedland/iced,,1
id-map,28425.0,3937.0,2017-09-13T13:46:30.164905Z,2017-06-12T04:06:27.533920Z,0.2.1,Data structure of values indexed by IDs.,https://github.com/andrewhickman/id-map,,1
idna,344982004.0,50070167.0,2024-11-04T09:47:25.663512Z,2016-03-27T08:55:20.657552Z,1.0.3,IDNA (Internationalizing Domain Names in Applications) and Punycode.,https://github.com/servo/rust-url/,,1
im,15910197.0,2269528.0,2022-04-29T14:12:56.603719Z,2017-04-17T16:06:00.142286Z,15.1.0,Immutable collection datatypes,https://github.com/bodil/im-rs,,1
image,53758503.0,11933380.0,2025-03-25T04:25:02.221510Z,2014-11-20T20:03:29.764042Z,0.25.6,Imaging library. Provides basic image processing and encoders/decoders for common image formats.,https://github.com/image-rs/image,,1
inconceivable,1665.0,203.0,2020-01-31T23:35:30.808291Z,2020-01-31T23:35:30.808291Z,0.9.0,"`inconceivable!` is a macro which closely parallels `std::unreachable`, or `std::panic`.
The primary difference is that when this crate is
configured with the `ub_inconceivable` option it will emit
the `core::hint::unreachable_unchecked` to hint
for the compiler to understand a condition should
never occur.

Generally compiler(s) (the LLVM) assume UB won't happen.
This macro offers the ""best of both worlds"", it provides a solid
way of asserting/testing behavior in local builds, but also
a way of stripping branches out of final release builds.

Please Note: This crate is created purely to inject undefined
behavior into stable, safe rust. Systematic usage is unwise,
and not recommended.
",https://github.com/valarauca/inconceivable,,1
insert_many,3704.0,350.0,2016-08-23T21:58:50.263471Z,2016-08-23T21:53:04.558336Z,0.1.1,insert_many optimization for vec-like structures,https://github.com/rphmeier/insert_many.git,,1
instant,171718635.0,20158727.0,2024-05-17T19:56:13.760985Z,2019-04-09T08:42:23.290642Z,0.1.13,"Unmaintained, consider using web-time instead - A partial replacement for std::time::Instant that works on WASM to.",https://github.com/sebcrozet/instant,,1
intaglio,196870.0,30363.0,2024-12-08T22:19:07.453923Z,2020-06-29T16:35:13.050300Z,1.10.0,UTF-8 string and byte string interner and symbol table,https://github.com/artichoke/intaglio,,1
interfaces2,8603.0,827.0,2018-09-13T16:24:44.076746Z,2018-09-13T16:24:44.076746Z,0.0.5,A Rust library for interacting with network interfaces,https://github.com/aep/interfaces-rs,,1
interledger-packet,68082.0,2240.0,2019-11-11T11:46:51.212041Z,2019-03-11T05:16:12.155389Z,0.4.0,Interledger packet serialization/deserialization,https://github.com/interledger-rs/interledger-rs,,1
internment,4127396.0,337363.0,2024-10-12T21:56:37.271318Z,2018-02-11T22:25:59.846574Z,0.8.6,Easy interning of data,https://github.com/droundy/internment,,1
inventory,33218806.0,9717352.0,2025-03-03T23:40:59.402157Z,2015-07-22T19:31:19.081684Z,0.3.20,Typed distributed plugin registration,https://github.com/dtolnay/inventory,,1
js-sandbox,26300.0,3406.0,2023-09-12T16:40:45.431185Z,2020-09-15T19:18:44.299994Z,0.2.0-rc.2,"Execute JavaScript code from Rust in a secure sandbox, and transport data to/from JS plug-ins.",https://github.com/Bromeon/js-sandbox,,1
json,16873697.0,1645614.0,2020-03-18T08:39:23.818803Z,2016-06-12T10:45:12.398700Z,0.12.4,JSON implementation in Rust,https://github.com/maciejhirsz/json-rust,,1
jsonrpc-quic,15028.0,1900.0,2021-02-16T09:49:50.052935Z,2019-12-03T20:42:52.408830Z,0.0.9,JSON-RPC over QUIC for safe-authd comm,https://github.com/maidsafe/safe-api,,1
juniper,2000099.0,127554.0,2024-04-04T14:00:31.411544Z,2016-09-11T20:01:50.453793Z,0.16.1,GraphQL server library.,https://github.com/graphql-rust/juniper,,1
kamadak-exif,5091555.0,381034.0,2024-11-06T15:22:32.903392Z,2016-12-31T04:14:13.291277Z,0.6.1,Exif parsing library written in pure Rust,https://github.com/kamadak/exif-rs,,1
kekbit,12323.0,1646.0,2022-02-18T11:15:57.530117Z,2020-02-11T16:53:12.347162Z,0.3.5,Ultralight persistent data channels,https://github.com/motoras/kekbit,,1
kuchiki,2408335.0,80536.0,2020-08-05T12:02:30.144298Z,2015-02-27T10:27:19.682756Z,0.8.1,(朽木) HTML/XML tree manipulation library,https://github.com/SimonSapin/kuchiki,,1
kvm-ioctls,2330800.0,130004.0,2025-03-07T10:07:30.243649Z,2019-02-28T13:36:45.596586Z,0.21.0,Safe wrappers over KVM ioctls,https://github.com/rust-vmm/kvm,,1
late-static,9256.0,803.0,2020-11-12T17:58:49.647Z,2019-02-04T17:44:27.546048Z,0.4.0,Initialize static variables at runtime,https://github.com/richard-w/late-static,,1
lazy-init,353104.0,62979.0,2022-08-01T18:55:32.392204Z,2017-01-27T22:49:20.425329Z,0.5.1,Lazy initialization.,https://github.com/khuey/lazy-init,,1
lettre,3956271.0,505799.0,2025-03-10T16:26:51.351771Z,2015-10-21T21:29:39.693168Z,0.11.15,Email client,https://github.com/lettre/lettre,,1
lever,102624.0,5444.0,2023-04-10T20:16:17.421561Z,2020-01-05T18:04:07.590128Z,0.1.4,Pillars for Transactional Systems and Data Grids,https://github.com/vertexclique/lever,,1
lexer,27988.0,3831.0,2021-08-19T18:07:22.359641Z,2017-10-07T17:04:38.695473Z,0.1.18,plugin based lexical reader,https://github.com/aicacia/rs-lexer.git,,1
lexical,16502671.0,2422721.0,2024-12-08T21:01:14.723651Z,2018-10-29T21:54:16.642711Z,7.0.4,"Lexical, to- and from-string conversion routines.",https://github.com/Alexhuszagh/rust-lexical,,1
lexical-core,62100469.0,8227355.0,2024-12-08T21:01:01.113747Z,2018-12-15T19:37:50.282051Z,1.0.5,"Lexical, to- and from-string conversion routines.",https://github.com/Alexhuszagh/rust-lexical,,1
libafl,79809.0,16690.0,2025-03-29T10:44:19.109014Z,2021-04-30T13:41:02.765574Z,0.15.2,Slot your own fuzzers together and extend their features using Rust,https://github.com/AFLplusplus/LibAFL/,,1
libdav1d-sys,124735.0,21288.0,2024-07-08T15:01:41.326690Z,2020-08-28T15:21:49.064294Z,0.7.1+libdav1d.1.4.3,Builds and statically links dav1d AV1 decoder. Part of libavif-sys,https://github.com/njaard/libavif-rs,,1
libflate,19789661.0,2791995.0,2024-04-30T12:28:20.726786Z,2016-10-16T20:25:53.769186Z,2.1.0,"A Rust implementation of DEFLATE algorithm and related formats (ZLIB, GZIP)",https://github.com/sile/libflate,,1
libgit2-sys,46116499.0,6257777.0,2025-03-17T22:43:43.518059Z,2014-11-13T06:35:27.096084Z,0.18.1+1.9.0,Native bindings to the libgit2 library,https://github.com/rust-lang/git2-rs,,1
libp2p,8834866.0,1121644.0,2025-01-15T15:36:55.614074Z,2018-08-08T18:03:31.755630Z,0.55.0,Peer-to-peer networking library,https://github.com/libp2p/rust-libp2p,,1
libp2p-core,9701388.0,1157558.0,2025-01-14T13:56:50.406392Z,2019-01-02T13:44:49.472866Z,0.43.0,Core traits and structs of libp2p,https://github.com/libp2p/rust-libp2p,,1
libp2p-deflate,1946116.0,75978.0,2023-10-18T13:45:22.844153Z,2019-06-04T15:31:38.738786Z,0.40.1,Deflate encryption protocol for libp2p,https://github.com/libp2p/rust-libp2p,,1
